Лог был сохранен в архив "log api 08.04.2025, 22_14_01.txt" и очищен
09.04.2025, 00:15:05 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:15:05 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:16:09 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:16:09 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:16:09 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:16:09 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:16:09 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:18:23 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:18:23 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:18:23 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:18:23 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:18:23 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:19:18 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:19:18 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:19:18 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:19:18 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:19:18 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:19:31 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:19:31 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:19:32 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:19:32 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:19:32 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:20:03 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:20:03 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:20:03 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:20:03 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:20:03 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:24:34 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:24:34 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:24:35 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:24:35 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:24:35 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:24:44 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:24:44 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:24:45 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:24:45 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:24:45 api/system(AdverterBuilderManager) IP адреса получены > 109.252.85.251 / 26.220.203.172
09.04.2025, 00:28:01 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:28:01 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
